TECNOLOGIA	Título
Anticoagulantes	Coagulation dysfunction in ICU patients with coronavirus disease 2019 in Wuhan, China: A retrospective observational study of 75 fatal cases.
Ivermectina	Study of the Efficacy and Safety of Topical Ivermectin + Iota-Carrageenan in the Prophylaxis against COVID-19 in Health Personnel.
Ivermectina	Study of the Efficacy and Safety of Topical Ivermectin + Iota-Carrageenan in the Prophylaxis against COVID-19 in Health Personnel.
Antagonistas do Receptor da Angiotensina II	Exposure to Renin-Angiotensin System Inhibitors Is Associated with Reduced Mortality of Older Hypertensive Covid-19 Patients.
Antagonistas do Receptor da Angiotensina II	Exposure to Renin-Angiotensin System Inhibitors Is Associated with Reduced Mortality of Older Hypertensive Covid-19 Patients.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Exposure to Renin-Angiotensin System Inhibitors Is Associated with Reduced Mortality of Older Hypertensive Covid-19 Patients.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Exposure to Renin-Angiotensin System Inhibitors Is Associated with Reduced Mortality of Older Hypertensive Covid-19 Patients.
Hidroxicloroquina	Hydroxychloroquine as Postexposure Prophylaxis to Prevent Severe Acute Respiratory Syndrome Coronavirus 2 Infection. A Randomized Trial.
Umifenovir	Effect of Arbidol (Umifenovir) on COVID-19: a randomized controlled trial.
Antagonistas do Receptor da Angiotensina II	Impact of renin–angiotensin system inhibitors use on mortality in severe COVID-19 patients with hypertension: a retrospective observational study.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Impact of renin–angiotensin system inhibitors use on mortality in severe COVID-19 patients with hypertension: a retrospective observational study.
Plasma convalescente	Efficacy and safety of transfusing plasma from COVID-19 survivors to COVID-19 victims with severe illness. A double-blinded controlled preliminary study.
Indometacina	Efficacy and Safety of Indomethacin in Covid -19 patients.
Antagonistas do Receptor da Angiotensina II	A systematic review and meta-analysis of the use of renin-angiotensin system drugs and COVID-19 clinical outcomes: What is the evidence so far?
Antagonistas do Receptor da Angiotensina II	A systematic review and meta-analysis of the use of renin-angiotensin system drugs and COVID-19 clinical outcomes: What is the evidence so far?
Antagonistas do Receptor da Angiotensina II	A systematic review and meta-analysis of the use of renin-angiotensin system drugs and COVID-19 clinical outcomes: What is the evidence so far?
Antagonistas do Receptor da Angiotensina II	A systematic review and meta-analysis of the use of renin-angiotensin system drugs and COVID-19 clinical outcomes: What is the evidence so far?
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	A systematic review and meta-analysis of the use of renin-angiotensin system drugs and COVID-19 clinical outcomes: What is the evidence so far?
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	A systematic review and meta-analysis of the use of renin-angiotensin system drugs and COVID-19 clinical outcomes: What is the evidence so far?
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	A systematic review and meta-analysis of the use of renin-angiotensin system drugs and COVID-19 clinical outcomes: What is the evidence so far?
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	A systematic review and meta-analysis of the use of renin-angiotensin system drugs and COVID-19 clinical outcomes: What is the evidence so far?
Covaxin	A Phase 1: Safety and Immunogenicity Trial of an Inactivated SARS-CoV-2 Vaccine-BBV152.
Ivermectina	Ivermectin as Pre-exposure Prophylaxis for COVID-19 among Healthcare Providers in a Selected Tertiary Hospital in Dhaka – An Observational Study.
Ivermectina	Ivermectin use associated with reduced duration of COVID-19 febrile illness in a community setting.
Celecoxibe	Celebrex Adjuvant Therapy on Coronavirus Disease 2019: An Experimental Study.
Corticosteroides	COVID-19 and Acute Respiratory Distress Syndrome. Impact of corticosteroid treatment and predictors of poor outcome.
Canaquinumabe	Blockage of interleukin‑1β with canakinumab in patients ith Covid‑19.
Corticosteroides	Corticosteroid use in COVID‑19 patients: a systematic review and meta‑analysis on clinical outcomes.
Antagonistas do Receptor da Angiotensina II	Angiotensin-Converting Enzyme Inhibitors or Angiotensin Receptor Blockers Use and COVID-19 Infection Among 824,650 Patients with Hypertension from a US integrated Healthcare System.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Angiotensin-Converting Enzyme Inhibitors or Angiotensin Receptor Blockers Use and COVID-19 Infection Among 824,650 Patients with Hypertension from a US integrated Healthcare System.
Heparina	Therapeutic dosing of low-molecular-weight heparin may decrease mortality in patients with severe COVID-19 infection.
Hidroxicloroquina	Incidencia de la COVID-19 en pacientes en tratamiento crónico con hidroxicloroquina
Vacina influenza	Inactivated trivalent influenza vaccination is associated with lower mortality among patients with COVID-19 in Brazil.
Vacina influenza	Inactivated trivalent influenza vaccination is associated with lower mortality among patients with COVID-19 in Brazil.
Corticosteroides	Corticosteroid therapy is associated with improved outcome in critically ill COVID-19 patients with hyperinflammatory phenotype.
Azitromicina	Effect of hydroxychloroquine, azithromycin and lopinavir/ritonavir on the QT corrected interval in patients with COVID-19.
Hidroxicloroquina	Effect of hydroxychloroquine, azithromycin and lopinavir/ritonavir on the QT corrected interval in patients with COVID-19.
Lopinavir	Effect of hydroxychloroquine, azithromycin and lopinavir/ritonavir on the QT corrected interval in patients with COVID-19.
Ritonavir	Effect of hydroxychloroquine, azithromycin and lopinavir/ritonavir on the QT corrected interval in patients with COVID-19.
Antagonista de β-adrenérgico	Antihypertensive drugs are associated with reduced fatal outcomes and improved clinical characteristics in elderly COVID-19 patients.
Antagonistas do Receptor da Angiotensina II	Antihypertensive drugs are associated with reduced fatal outcomes and improved clinical characteristics in elderly COVID-19 patients.
Bloqueadores do Canal de Cálcio	Antihypertensive drugs are associated with reduced fatal outcomes and improved clinical characteristics in elderly COVID-19 patients.
Diuréticos	Antihypertensive drugs are associated with reduced fatal outcomes and improved clinical characteristics in elderly COVID-19 patients.
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Antihypertensive drugs are associated with reduced fatal outcomes and improved clinical characteristics in elderly COVID-19 patients.
Anticoagulantes	Sars-Cov-2 Associated Coagulopathy and Thromboembolism Prophylaxis in Children: a Single Centre Observational Study.
Hidroxicloroquina	Safety and efficacy of hydroxychloroquine in 152 outpatients with confirmed COVID-19: A pilot observational study.
Hidroxicloroquina	The Role of Hydroxychloroquine in COVID-19 Treatment: A Systematic Review and Meta-Analysis.
Hidroxicloroquina	The Role of Hydroxychloroquine in COVID-19 Treatment: A Systematic Review and Meta-Analysis.
Anticoagulantes	Early initiation of prophylactic anticoagulation for prevention of COVID-19 mortality: a nationwide cohort study of hospitalized patients in the United States.
Anticoagulantes	Early initiation of prophylactic anticoagulation for prevention of COVID-19 mortality: a nationwide cohort study of hospitalized patients in the United States.
Favipiravir	Systematic review and meta-analysis of effectiveness and safety of favipiravir in the management of novel coronavirus (COVID-19) patients.
Vitamina D (25-hidroxivitamina D)	High-Dose Cholecalciferol Booster Therapy is Associated with a Reduced Risk of Mortality in Patients with COVID-19: A Cross-Sectional Multi-Centre Observational Study.
Baricitinibe	Baricitinib plus Remdesivir for Hospitalized Adults with Covid-19.
Baricitinibe	Baricitinib plus Remdesivir for Hospitalized Adults with Covid-19.
Baricitinibe	Baricitinib plus Remdesivir for Hospitalized Adults with Covid-19.
Hidroxicloroquina	Effect of hydroxychloroquine pre-exposure on infection with SARS-CoV-2 in rheumatic disease patients: A population-based cohort study
Anticorpos	Evaluating the Efficacy and Safety of the Existing Repurposed Pharmacological Agents for Treating COVID-19: A Meta-analysis and Systemic Review of Clinical Trials.
Corticosteroides	Evaluating the Efficacy and Safety of the Existing Repurposed Pharmacological Agents for Treating COVID-19: A Meta-analysis and Systemic Review of Clinical Trials.
Hidroxicloroquina	Evaluating the Efficacy and Safety of the Existing Repurposed Pharmacological Agents for Treating COVID-19: A Meta-analysis and Systemic Review of Clinical Trials.
Interferon alfa	Evaluating the Efficacy and Safety of the Existing Repurposed Pharmacological Agents for Treating COVID-19: A Meta-analysis and Systemic Review of Clinical Trials.
Plasma convalescente	Evaluating the Efficacy and Safety of the Existing Repurposed Pharmacological Agents for Treating COVID-19: A Meta-analysis and Systemic Review of Clinical Trials.
Tocilizumabe	First Report of Tocilizumab Use in a Cohort of Latin American Patients Hospitalized for Severe COVID-19 Pneumonia.
Remdesivir	Efficacy and harms of remdesivir for the treatment of COVID-19: A systematic review and meta-analysis.
Remdesivir	Efficacy and harms of remdesivir for the treatment of COVID-19: A systematic review and meta-analysis.
Corticosteroides	Corticosteroids in patients hospitalised for COVID-19 pneumonia who require oxygen: observational comparative study using routine care data.
Vacina	Association between seasonal flu vaccination and COVID-19 among healthcare workers.
Anakinra	Anakinra treatment in critically ill COVID‑19 patients: a prospective cohort study.
Anakinra	Anakinra treatment in critically ill COVID‑19 patients: a prospective cohort study.
Vacina BNT162	BNT162b2 induces SARS-CoV-2-neutralising antibodies and T cells in humans.
Vacina BNT162	BNT162b2 induces SARS-CoV-2-neutralising antibodies and T cells in humans.
Vacina BNT162	Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine.
Vacina BNT162	Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine.
Vacina BNT162	Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine.
Vacina BNT162	Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine.
Vacina BNT162	Safety and Efficacy of the BNT162b2 mRNA Covid-19 Vaccine.
Tocilizumabe	Repurposed Tocilizumab in Patients with Severe COVID-19.
Corticosteroides	Corticosteroids for Patients With Coronavirus Disease 2019 (COVID-19) With Different Disease Severity: A meta-Analysis of Randomized Clinical Trials.
Corticosteroides	Corticosteroids for Patients With Coronavirus Disease 2019 (COVID-19) With Different Disease Severity: A meta-Analysis of Randomized Clinical Trials.
Corticosteroides	Corticosteroids for Patients With Coronavirus Disease 2019 (COVID-19) With Different Disease Severity: A meta-Analysis of Randomized Clinical Trials.
Oseltamivir	Effect of early oseltamivir on outpatients without hypoxia with suspected COVID-19.
Hidroxicloroquina	Efficacy and safety of hydroxychloroquine in healthcare professionals with mild SARS-CoV-2 infection: prospective, non-randomized trial.
Tocilizumabe	Mortality in tocilizumab-treated patients with COVID-19: a systematic review and meta-analysis.
Interferon alfa	The dual role of anti-viral therapy in the treatment of Coronavirus disease 2019.
Lopinavir	The dual role of anti-viral therapy in the treatment of Coronavirus disease 2019.
Ritonavir	The dual role of anti-viral therapy in the treatment of Coronavirus disease 2019.
Azitromicina	Investigation of QT Prolongation with Hydroxychloroquine and Azithromycin for the Treatment of COVID‐19.
Hidroxicloroquina	Investigation of QT Prolongation with Hydroxychloroquine and Azithromycin for the Treatment of COVID‐19.
Antivirais	Severe COVID-19 pneumonia in Piacenza, Italy – a cohort study of the first pandemic wave.
Antivirais	Severe COVID-19 pneumonia in Piacenza, Italy – a cohort study of the first pandemic wave.
Antivirais	Severe COVID-19 pneumonia in Piacenza, Italy – a cohort study of the first pandemic wave.
Antivirais	Severe COVID-19 pneumonia in Piacenza, Italy – a cohort study of the first pandemic wave.
